window_start,window_end,minFDR_PG10,minFDR_BSU168,significant
BSU23580,BSU23660,0.985397681172441,0.952143202155434,Neither
BSU03620,BSU03910,0.000406486778548504,0.000500502103794084,Both
BSU24550,BSU24670,6.85365850892763e-06,1.80646590627718e-06,Both
BSU39300,BSU39380,1.77902622861036e-09,3.00285508452469e-10,Both
BSU33500,BSU33590,0.00820564081809829,0.00337938004510232,Both
BSU31560,BSU31650,4.2987995019611e-12,5.39666885152624e-13,Both
BSU23370,BSU23530,0.0904469160978541,0.0628554627326179,Neither
BSU15090,BSU15180,0.00874280275251356,0.00347214753944325,Both
BSU05190,BSU05280,0.888577189114419,0.830013444969292,Neither
BSU15490,BSU15670,5.18940790113803e-20,1.47533396946358e-21,Both
BSU36269,BSU36350,0.0917826300486663,0.0588772688887813,Neither
BSU01670,BSU01760,0.0160382979626467,0.0322890305209862,Both
BSU36300,BSU36390,0.0813765685178292,0.0521704500199145,Neither
BSU29780,BSU29880,0.255520509115673,0.126370530328868,Neither
BSU09790,BSU09889,0.0210494136973151,0.0175037337683603,Both
BSU30560,BSU30659,0.335975892379438,0.216693920451637,Neither
BSU23280,BSU23390,0.124860231084608,0.0800477897252123,Neither
BSU19060,BSU19150,0.0969064480059645,0.099082306917337,Neither
BSU22820,BSU22890,0.156541185240404,0.100358422939072,Neither
BSU02420,BSU02580,0.00208412866076595,0.00187837668144485,Both
BSU27940,BSU28030,0.00853271550308088,0.00299105096031853,Both
